threat_category,ioc
Malware/Riskware on System,hxxp://73[.]125[.]45[.]48/whoami.php
Malware/Riskware on System,hxxp://thenlorefuse[.]com/4/forum.php
Malware/Riskware on System,hxxp://thosewebbs[.]com/wp-content/plugins/prevent-xmlrpc/1
Malware/Riskware on System,hxxp://thenlorefuse[.]com/mlu/forum.php
Malware/Riskware on System,hxxp://thosewebbs[.]com/wp-content/plugins/prevent-xmlrpc/2
Malware/Riskware on System,hxxp://thosewebbs[.]com/wp-content/plugins/prevent-xmlrpc/3
Malware/Riskware on System,hxxp://smartstoragerd[.]com/MVZ
Malware/Riskware on System,hxxp://semashur10s[.]org/FQCS
Malware/Riskware on System,hxxp://mahdepardis[.]com/NbIDI9ep
Malware/Riskware on System,hxxp://ekositem[.]com/t
Malware/Riskware on System,hxxp://zombieruncr[.]com/tegIHp
Malware/Riskware on System,hxxp://a4d-development[.]org/YGKX
Malware/Riskware on System,hxxp://alanyapropertysale[.]com/OOmX2a
Malware/Riskware on System,hxxp://tan-gho[.]com/StjB
Malware/Riskware on System,hxxp://mahdepardis[.]com/DpTRthF
Malware/Riskware on System,hxxp://samarthdparikh[.]com/4b9iHQ3
Malware/Riskware on System,hxxp://tfkam38pqhsh6m[.]com/RTT/opanskot.php?l=kbnk4.tkn
Malware/Riskware on System,hxxp://enduuyyhgeetyasd[.]com/RTT/opanskot.php?l=omg9.tkn
Malware/Riskware on System,hxxp://tomas[.]datanom[.]fi/testlab/w0qi46LyvZ
Malware/Riskware on System,hxxp://www[.]plasdo[.]com/MNXfUEtpo
Malware/Riskware on System,hxxp://vinastone[.]com/m3qQf5sLVY
Malware/Riskware on System,hxxp://vaarbewijzer[.]nl/D50JpVAsc0
Malware/Riskware on System,hxxp://ruforum[.]uonbi[.]ac[.]ke/wp-content/uploads/afZG2WrC
Malware/Riskware on System,hxxp://enduuyyhgeetyasd[.]com/RTT/opanskot.php?l=omg8.tkn
Malware/Riskware on System,hxxp://ooiansyyhgeetyzxc[.]com/RTT/opanskot.php?l=omg4.tkn
Malware/Riskware on System,zooloopil[.]fun
Malware/Riskware on System,uuaisdnqweasd[.]com
Malware/Riskware on System,lambchop.thisplace[.]ca
Malware/Riskware on System,hxxp://hvyiasubeqweqw[.]com/RTT/opanskot.php?l=omg9.tkn
Malware/Riskware on System,hxxp://laschuk.com[.]br/C7f65h8p
Malware/Riskware on System,hxxp://jobarba[.]com/wp-content/nY7NWG7z
Malware/Riskware on System,hxxp://familiekoning[.]net/YT9gzKUs
Malware/Riskware on System,hxxp://www.ultigamer[.]com/wp-admin/includes/OCklr3Q
Malware/Riskware on System,hxxp://fluorescent[.]cc/ttQoKkJ4sC
Malware/Riskware on System,whoulatech[.]com
Malware/Riskware on System,africategy[.]website
Malware/Riskware on System,hxxp://apollon-hotel[.]eu/X3LVJH6
Malware/Riskware on System,hxxp://138[.]68[.]2[.]34/wp-content/uploads/cfNP5EWD
Malware/Riskware on System,hxxp://45[.]64[.]128[.]172/2
Malware/Riskware on System,hxxp://5minuteaccountingmakeover[.]com/BRWYR
Malware/Riskware on System,hxxp://alyeser[.]com/wp-content/themes/framed-redux/images/GRO
