iso2c,port,total_in_port,total_ips,port_name,ssl,port_group,un_code,country_name,region,sub_region,iso3c,iso3n,imf,wb,continent
GW,443,164,255,web,TRUE,web,624,Guinea-Bissau,Africa,Western Africa,GNB,624,654,GNB,Africa
AL,443,5659,21462,web,TRUE,web,8,Albania,Europe,Southern Europe,ALB,8,914,ALB,Europe
SR,443,3294,13790,web,TRUE,web,740,Suriname,Latin America and the Caribbean,South America,SUR,740,366,SUR,Americas
GL,443,694,1087,web,TRUE,web,304,Greenland,Latin America and the Caribbean,Northern America,GRL,304,326,GRL,Americas
CX,443,106,122,web,TRUE,web,NA,NA,NA,NA,NA,NA,NA,NA,NA
HR,443,17535,77249,web,TRUE,web,191,Croatia,Europe,Southern Europe,HRV,191,960,HRV,Europe
LI,443,2143,3884,web,TRUE,web,438,Liechtenstein,Europe,Western Europe,LIE,438,NA,LIE,Europe
AO,443,5141,14032,web,TRUE,web,24,Angola,Africa,Middle Africa,AGO,24,614,AGO,Africa
IL,443,81252,268043,web,TRUE,web,376,Israel,Asia,Western Asia,ISR,376,436,ISR,Asia
SK,443,32778,130480,web,TRUE,web,703,Slovakia,Europe,Eastern Europe,SVK,703,936,SVK,Europe
GG,443,1486,2653,web,TRUE,web,831,Guernsey,Europe,Northern Europe,GGY,831,NA,GGY,Europe
CC,443,116,123,web,TRUE,web,NA,NA,NA,NA,NA,NA,NA,NA,NA
TV,443,128,168,web,TRUE,web,798,Tuvalu,Oceania,Polynesia,TUV,798,NA,TUV,Oceania
SY,465,48,121688,smtp,TRUE,mail,760,Syrian Arab Republic,Asia,Western Asia,SYR,760,463,SYR,Asia
SA,465,8027,1030561,smtp,TRUE,mail,682,Saudi Arabia,Asia,Western Asia,SAU,682,456,SAU,Asia
IL,465,7103,268043,smtp,TRUE,mail,376,Israel,Asia,Western Asia,ISR,376,436,ISR,Asia
FO,465,114,1148,smtp,TRUE,mail,234,Faeroe Islands,Europe,Northern Europe,FRO,234,816,FRO,Europe
DZ,465,1500,40341,smtp,TRUE,mail,12,Algeria,Africa,Northern Africa,DZA,12,612,DZA,Africa
MZ,465,616,7147,smtp,TRUE,mail,508,Mozambique,Africa,Eastern Africa,MOZ,508,688,MOZ,Africa
GA,465,748,6645,smtp,TRUE,mail,266,Gabon,Africa,Middle Africa,GAB,266,646,GAB,Africa
PT,465,9899,219575,smtp,TRUE,mail,620,Portugal,Europe,Southern Europe,PRT,620,182,PRT,Europe
LI,465,373,3884,smtp,TRUE,mail,438,Liechtenstein,Europe,Western Europe,LIE,438,NA,LIE,Europe
