cc,port,n
BN,53,182
GQ,53,87
VI,53,134
LR,53,42
EC,53,12760
AF,53,232
BE,587,273362
JE,587,35
TH,587,15751
TN,587,196
NP,587,407
AO,587,407
UG,587,157
LS,587,13
TM,587,12
BT,587,7
ET,587,29
US,8080,5590508
IT,8080,92178
FR,8080,333789
HR,8080,8629
PT,8080,16826
MO,8080,3040
QA,8080,10039
MG,8080,1175
BW,8080,1116
CO,8080,958944
JM,8080,960
YE,8080,281
PA,8080,30719
GD,8080,136
MP,8080,120
ES,8081,154703
IL,8081,3395
PL,8081,22346
A2,8081,2764
CH,8081,10175
QA,8081,27160
EU,8081,6216
ME,8081,1984
DZ,8081,30615
GD,8081,19
OM,8081,261
RW,8081,82
NP,8081,286
AL,8081,216
TT,8081,391
PK,8081,1331
EC,8081,101827
GM,8081,12
GP,8081,128
BB,8081,92
KY,8081,78
AI,8081,21
ET,8081,33
GY,8081,52
MP,8081,14
TW,8443,18923
CH,8443,19710
SE,8443,23066
SA,8443,21854
FI,8443,3629
CI,8443,112
RO,8443,8418
EG,8443,798
EE,8443,1613
AO,8443,196
BJ,8443,58
LI,8443,132
AZ,8443,710
A2,8443,2834
KH,8443,130
BW,8443,141
CM,8443,25
CG,8443,13098
PF,8443,1996
BQ,8443,9
YE,8443,144
GD,8443,15
NU,8443,2
GF,8443,43
GU,8443,62
MH,8443,3
CU,8443,111
CK,8443,9
TK,8443,1
CN,990,324626
SA,990,7333
NO,990,5590
TR,990,5393
BG,990,523
EU,990,3645
PT,990,345
BA,990,82
SG,990,2622
IE,990,1266
AU,990,187539
A1,990,1932
FK,990,4
AZ,990,629
AE,990,226
CO,990,3383
PY,990,42
LK,990,169
BH,990,39
ME,990,19
PG,990,4
DM,990,3
US,995,5001682
IL,995,11389
FR,995,250656
KG,995,151
IE,995,6206
MU,995,372
MW,995,46
FK,995,1290
PR,995,357
LB,995,724
CD,995,80
BO,995,351
VU,995,12
VI,995,51
MH,995,4
AD,995,67
NZ,110,14136
PK,110,3328
UA,110,26270
SK,110,4525
BE,110,263586
UZ,110,472
CL,110,4957
MW,110,146
DO,110,70686
PF,110,1940
TO,110,34
GY,110,15
BM,110,33
JP,135,205266
SD,135,343
IL,135,9529
SK,135,2284
BD,135,2059
LK,135,486
BS,135,30
NI,135,227
CG,135,1783
SM,135,19
KI,135,4
TR,1723,31483
IE,1723,11093
GP,1723,398
EU,1723,4175
PH,1723,6190
MO,1723,3902
DZ,1723,1836
GN,1723,222
MQ,1723,277
BZ,1723,205
CK,1723,145
DJ,1723,124
PN,1723,123
FM,1723,10
TL,1723,30
VA,22,20
MH,3389,11
MY,445,7148
UA,445,50691
TR,445,37883
EE,445,1492
NO,445,19218
MX,445,23479
KE,445,1505
AL,445,348
NE,445,24
FM,445,74
JE,445,40
HN,445,1080
ZW,445,104
CG,445,13426
AI,445,5
MY,5000,14486
NZ,5000,9222
RU,5000,26535
TR,5000,22994
CH,5000,19375
HU,5000,9942
GB,5000,90992
KZ,5000,664
EE,5000,1395
PH,5000,3252
KH,5000,1575
AL,5000,436
HR,5000,945
NP,5000,168
MG,5000,44
CL,5000,6658
NA,5000,50
SC,5000,14
MQ,5000,186
VE,5000,4542
SY,5000,32
MR,5000,5
SS,5000,12
SV,5000,121
AP,5000,11
TG,5000,5
TD,587,1
SG,5900,4791
CH,5900,6952
IR,5900,7303
A2,5900,2842
RO,5900,7684
KW,5900,246
ZA,5900,25900
MZ,5900,582
JM,5900,116
RS,5900,543
MD,5900,286
MQ,5900,77
AZ,5900,717
KG,5900,30
CG,5900,3735
LY,5900,29
GF,5900,9
BJ,5900,12
UA,9100,2605
AT,9100,2865
AZ,9100,622
SI,9100,902
PK,9100,726
GH,9100,107
VI,9100,12
AM,9100,43
NC,9100,15
BJ,9100,12
CF,9100,1
IT,993,32515
SK,993,5199
IS,993,1403
BJ,993,37
ZM,993,98
GM,993,12
PS,993,305
TG,993,21
AZ,993,1293
CL,993,3467
JO,993,113
AD,993,64
MR,993,12
AI,993,2
DM,993,8
ER,110,10
AQ,135,2
NF,25,1
PM,3389,4
DM,445,12
CX,8080,1
ER,8443,3
AS,9100,2
CC,445,1
AI,9100,1
NR,110,1
CC,110,1
PW,21,13
PN,8443,1
AQ,993,2
TD,111,3
LR,111,4
KM,3306,2
TG,465,11
KM,8443,1
AD,990,6
TD,995,3
NR,5900,1
DK,8888,5126
TR,8888,12566
SE,8888,5753
CH,8888,13468
AL,8888,439
PR,8888,267
KE,8888,848
IS,8888,115
QA,8888,9109
SL,8888,10
JO,8888,470
GD,8888,6
%,8888,11
TL,8888,3
GY,995,10
US,1433,991957
TW,1433,19469
TR,1433,28218
UG,1433,89
HU,1433,2482
VC,1433,4
FJ,1433,43
NP,1433,124
YE,1433,174
SD,1433,43
RE,1433,21
TL,1433,2
GY,1433,5
MM,1433,17
NU,465,1
CF,587,2
MS,587,1
FM,990,1
CX,110,1
PM,139,1
BI,1433,3
CN,389,320894
GR,389,1391
BE,389,253438
EG,389,996
KE,389,1039
BA,389,138
AZ,389,742
IM,389,259
MX,389,5348
KW,389,225
KI,389,4
HN,389,132
ZM,389,49
MM,389,18
AX,389,6
KP,389,4
CK,389,1
KI,8081,1
TC,8888,2
AQ,110,2
YT,389,5
ST,995,1
SJ,587,1
AI,8888,1
AQ,587,1
AU,80,103891
CN,80,360469
DE,80,989745
FR,80,787873
SY,80,106862
OM,80,151383
HR,80,9053
MK,80,11105
LY,80,129
BN,80,194
A2,80,25
AG,80,811
LS,80,208
SV,80,94
GU,80,160
SM,80,342
TJ,80,252
MC,80,1042
MF,9100,1
TK,993,1
PL,111,34483
KG,111,843
IT,111,19304
DK,111,9337
A2,111,2943
LV,111,7181
QA,111,378
SG,111,11719
IE,111,4145
BR,111,46650
BA,111,358
SC,111,302
MQ,111,45
OM,111,166
HN,111,150
ET,111,37
DM,111,9
SR,111,57
MY,139,5152
BG,139,4782
NL,139,163340
KW,139,1677
MA,139,1248
NA,139,93
CD,139,59
MV,139,1682
MX,139,18403
CL,139,4033
AP,139,44
SL,139,9
AW,139,57
BI,139,20
RU,143,112447
NL,143,167666
SI,143,4339
EG,143,1338
TJ,143,2159
BW,143,477
FK,143,1289
LB,143,840
LU,143,3971
BO,143,503
ZW,143,238
SD,143,70
VA,143,4
SC,143,317
GQ,143,7
CN,21,1864809
MY,21,42919
LU,21,5244
BY,21,10640
LV,21,13586
SV,21,2380
BB,21,1446
BD,21,10050
NC,21,6523
MU,21,1364
FK,21,1288
TL,21,113
AI,21,31
HN,21,3146
GF,21,100
AP,21,173
CA,22,418130
UA,22,139388
RU,22,504945
NL,22,423299
LT,22,46239
LU,22,6872
PE,22,12000
DZ,22,2791
GH,22,2874
SN,22,1603
%,22,641
WS,22,471
GN,22,350
SO,22,369
TL,22,127
ER,22,32
LC,23,1023
KR,23,1024663
TW,23,218685
ID,23,71032
TR,23,128320
FI,23,29124
SI,23,4444
CI,23,1193
MU,23,3241
EC,23,77622
GQ,23,140
LA,23,2607
A1,23,80
MX,23,159432
AS,23,69
VN,25,25511
AT,25,42081
CZ,25,67977
SA,25,10039
BG,25,45555
ES,25,164412
IL,25,29865
LB,25,1841
EG,25,963895
TZ,25,897
PA,25,13370
GA,25,749
SC,25,524
GN,25,30
TG,25,53
SD,25,181
MR,25,50
SR,25,148
DJ,25,27
CK,25,28
MM,25,197
SX,25,48
MF,25,19
TR,3306,66025
LB,3306,433
GR,3306,4211
SY,3306,37
BY,3306,2935
AR,3306,14942
MA,3306,1098
MW,3306,34
A1,3306,631
AE,3306,649
MV,3306,221
ZW,3306,121
LI,3306,44
IQ,3306,155
AL,3306,147
SB,3306,4
VN,3389,37426
ES,3389,114686
CZ,3389,40766
IR,3389,20323
FI,3389,5876
IT,3389,47528
UA,3389,21883
YE,3389,417
AG,3389,83
HT,3389,169
CK,3389,25
BZ,3389,202
IO,3389,2
TH,443,188046
--,443,2539
IR,443,109933
DE,443,2212518
GA,443,4762
BM,443,1688
EC,443,22937
TT,443,20593
CU,443,9930
CK,443,200
MW,443,1878
EU,443,527112
UA,443,172393
IT,443,1593005
PL,443,811116
IM,443,3756
BY,443,10962
MG,443,1128
CD,443,642
SS,443,139
SZ,443,241
US,465,4817189
CA,465,127621
HK,465,98206
SI,465,3783
AM,465,305
MV,465,464
GP,465,46
BM,465,15
BA,465,355
LK,465,397
PA,465,3505
BF,465,33
JO,465,388
SM,465,71
HN,465,212
BW,465,56
GB,53,285618
DE,53,372529
SA,53,44842
GR,53,11113
AR,53,92399
SN,53,418
CL,53,15790
CW,53,413
JO,53,820
FO,53,62
YE,53,133
BO,53,3203
VE,53,10586
TW,587,18871
BG,587,18434
FI,587,4583
RE,587,64
VG,587,2237
BS,587,221
BA,587,393
SY,587,58
LY,587,153
NC,587,157
PR,587,377
VE,587,2330
ZM,587,85
SL,587,5
NI,587,387
SS,587,40
AF,587,86
CH,8080,81704
GR,8080,89515
BE,8080,295665
NO,8080,44533
FJ,8080,278
ZW,8080,943
KE,8080,5131
RW,8080,162
TC,8080,512
SR,8080,4992
LA,8080,308
NE,8080,38
KP,8080,11
US,8081,2948794
RU,8081,46975
CY,8081,410
TJ,8081,2566
SK,8081,7619
LU,8081,972
VE,8081,5020
BW,8081,35
VG,8081,71
TM,8081,18
TO,8081,3
VU,8081,25
LA,8081,48
PK,8443,1173
CZ,8443,9811
LB,8443,410
VN,8443,4765
TO,8443,1
MK,8443,430
UY,8443,453
SB,8443,6
FJ,8443,38
ME,8443,42
GE,8443,143
SY,8443,70
CW,8443,95
WF,8443,2
CH,990,3614
GI,990,1973
CY,990,110
MV,990,450
KZ,990,125
MO,990,1166
IQ,990,101
IM,990,258
EC,990,273
BO,990,68
UY,990,33
MM,990,6
AM,990,47
NF,990,1
MC,990,8
SV,990,20
SR,990,9
GG,990,1
MW,990,3
RO,995,64420
ES,995,75968
A2,995,2916
GI,995,1995
MD,995,1077
IN,995,30741
PS,995,312
BD,995,1440
NG,995,498
BJ,995,39
TT,995,65
FM,995,2
US,110,5531186
PH,110,3790
IL,110,17002
FI,110,6871
IE,110,7942
EU,110,7529
AE,110,1109
AO,110,665
A2,110,3001
BH,110,120
CM,110,214
AI,110,83
TL,110,23
NC,110,196
MR,110,25
CK,110,16
GN,110,22
VA,110,12
VU,110,42
JM,135,85
PR,135,1252
HK,135,127443
MY,135,8264
BG,135,7958
KE,135,2380
IE,135,5490
NG,135,3002
TJ,135,2302
CR,135,1254
RS,135,970
MK,135,1160
KH,135,273
AX,135,51
LR,135,22
TK,135,1
GN,135,5
SB,135,7
MR,143,18
BD,1723,9923
TH,1723,30650
IT,1723,48348
IL,1723,10233
IR,1723,40581
SK,1723,11172
HR,1723,9011
AR,1723,31177
NA,1723,700
MN,1723,783
LS,1723,174
VC,1723,156
BN,1723,425
KN,1723,166
BO,1723,1515
AI,1723,136
KZ,445,4806
MU,445,488
CM,445,149
TG,445,31
GU,445,11111
MN,445,348
VI,445,31
VC,445,16
LI,445,55
VE,445,1898
PF,445,1976
AW,445,61
KP,445,16
CZ,5000,12938
ES,5000,49311
CY,5000,944
MT,5000,721
SK,5000,2681
RO,5000,14132
EU,5000,3718
AE,5000,2569
IR,5000,5713
PR,5000,1289
TZ,5000,361
ME,5000,313
MN,5000,40
ZM,5000,24
CI,5000,50
AS,5000,5
BJ,5000,20
PE,5000,3937
FJ,5000,8
SL,5000,3
PH,5900,2784
MT,5900,225
PR,5900,316
PK,5900,1555
BA,5900,241
MX,5900,8553
RW,5900,11
MW,5900,38
SV,5900,195
NI,5900,91
RE,5900,113
YE,5900,166
VU,5900,9
GL,5900,4
BG,9100,733
TJ,9100,2663
NZ,9100,8073
MA,9100,9688
TZ,9100,307
MO,9100,1248
BS,9100,120
AE,9100,460
VN,9100,664
BD,9100,123
YE,9100,143
LY,9100,21
LC,9100,21
ML,9100,2
VU,9100,2
AW,9100,7
FK,9100,4
TW,993,29330
NL,993,154550
HU,993,12814
PT,993,10114
TJ,993,1713
NG,993,389
DZ,993,1514
VG,993,2348
AE,993,647
BA,993,377
KG,993,154
EC,993,1974
HN,993,233
AQ,3389,1
MM,5000,8
SZ,5900,2
ST,5900,3
MR,5900,3
MW,9100,5
GD,9100,4
YT,9100,1
BQ,993,4
FK,135,3
PM,25,4
CX,3389,2
TK,3389,1
TO,445,1
LR,5900,2
SO,993,5
GF,993,11
SH,135,1
WF,135,3
NU,53,1
SH,993,1
FO,111,11
SL,465,4
IO,53,5
SH,587,1
MH,8081,2
YT,8443,1
NF,135,1
US,8888,2650086
AU,8888,196903
GG,8888,44
NO,8888,6057
MT,8888,297
IR,8888,6275
EG,8888,849
MU,8888,334
MZ,8888,557
AR,8888,21425
A2,8888,2792
OM,8888,199
JM,8888,71
CW,8888,68
GD,995,5
CV,111,8
CN,1433,622378
ID,1433,3258
IT,1433,6876
SE,1433,2684
UA,1433,1650
IR,1433,8244
CY,1433,322
EE,1433,364
ZA,1433,21904
GL,1433,9
TM,1433,15
SO,1433,6
VE,1433,4456
PF,1433,1883
SC,1433,14
AP,1433,13
RW,1433,35
LC,1433,8
VU,3306,6
GF,465,5
BL,587,1
MP,587,14
SJ,8443,1
TD,990,1
GL,995,8
AU,389,190439
DE,389,29493
AT,389,3324
GI,389,1971
LB,389,402
SI,389,834
RO,389,1380
BG,389,954
JM,389,74
MO,389,927
LK,389,282
GY,389,9
SO,389,3
MS,389,2
TC,465,5
AQ,8080,1
MF,110,4
NF,1433,1
GW,389,3
CC,990,1
SH,990,1
TG,990,1
CX,143,1
WF,143,1
NF,8888,1
IN,80,111864
NL,80,370684
HK,80,31190
MD,80,15790
GP,80,2289
BZ,80,183
NG,80,3494
FK,80,510
BS,80,1431
BM,80,555
PA,80,25
EC,80,113
NE,9100,1
JP,111,224630
BG,111,14637
SA,111,8012
SI,111,1772
MO,111,1027
DO,111,70706
MW,111,32
JM,111,86
CW,111,113
SX,111,17
BB,111,43
GP,139,334
LB,139,20
TJ,139,2063
MU,139,489
UG,139,277
NP,139,525
SI,139,561
LI,139,51
%,139,564
AR,139,108197
BO,139,6534
HN,139,386
TG,139,25
VC,139,17
LS,139,12
SS,139,29
BW,139,69
TH,143,23263
BG,143,26233
GH,143,231
DZ,143,1534
NG,143,737
MQ,143,31
NI,143,270
CG,143,2695
GM,143,39
MN,143,354
BF,143,29
BM,143,36
NC,143,138
AF,143,14
LA,143,77
VU,143,23
CF,143,4
GF,143,14
ID,21,90376
PH,21,31453
PT,21,22080
FJ,21,1356
SN,21,1133
AZ,21,8851
QA,21,9716
MO,21,6581
BH,21,2002
MN,21,1439
LC,21,858
GU,21,12755
ML,21,179
BI,21,160
KP,21,49
TH,22,92689
NZ,22,31569
CH,22,72987
FI,22,70419
AM,22,6115
MT,22,1899
IM,22,852
AL,22,3913
MO,22,6843
AO,22,4211
VE,22,10962
JE,22,527
KP,22,116
AQ,22,9
GL,22,93
VN,23,195951
SE,23,66538
LT,23,7289
DK,23,20069
KE,23,8551
BG,23,23696
BF,23,346
LU,23,1197
AE,23,3616
LK,23,3199
MO,23,6974
MK,23,5869
MZ,23,1922
NA,23,1027
CM,23,2156
ZM,23,1635
GI,23,261
BH,23,4019
SS,23,90
SR,23,43
PW,23,21
GW,23,28
US,25,6362237
UA,25,84892
SI,25,8356
GE,25,1438
CR,25,16573
BZ,25,8117
UG,25,435
PS,25,564
RW,25,82
%,25,467
A1,25,251
BH,25,585
GM,25,33
ML,25,120
UY,25,1548
LC,25,41
CN,3306,1079022
MY,3306,12106
VN,3306,16878
BD,3306,2048
AT,3306,8769
BR,3306,61179
BH,3306,66
PS,3306,346
RE,3306,59
YT,3306,5
MP,3306,16
SO,3306,21
FJ,3389,202
PL,3389,59639
LU,3389,1837
RU,3389,116723
LT,3389,6066
%,3389,1570
AZ,3389,2236
BA,3389,1804
BJ,3389,50
A1,3389,421
CD,3389,122
ST,3389,11
VG,3389,667
KN,3389,51
LI,3389,192
RE,3389,893
LC,3389,114
PY,3389,1235
CF,3389,4
GL,3389,119
NP,443,4893
PG,443,1029
MV,443,1615
BW,443,2029
BO,443,21655
PM,443,181
LC,443,503
AR,443,139058
KE,443,6058
UG,443,1618
ES,443,371854
CY,443,10555
UZ,443,1603
A2,443,35
SC,443,3802
QA,443,16078
AX,443,295
SD,443,1768
CV,443,505
JP,465,299588
AU,465,241840
TW,465,33994
DE,465,348980
ES,465,71678
PS,465,262
GR,465,4098
FI,465,4126
TZ,465,593
PK,465,2290
BD,465,1200
GD,465,5
PR,465,346
AL,465,107
NI,465,355
PY,465,545
GG,465,19
TM,465,9
NZ,53,25737
RU,53,345062
BG,53,56676
NO,53,68787
FJ,53,166
PF,53,2014
PM,53,9
VC,53,30
GF,53,29
SG,587,23311
IN,587,33083
PL,587,280981
TR,587,77491
IL,587,7751
AT,587,11909
HR,587,2106
EU,587,5360
IS,587,888
LV,587,4403
IE,587,5738
LK,587,361
MA,587,1082
BD,587,930
SV,587,361
A1,587,185
MO,587,969
CU,587,304
WF,587,1
AG,587,27
LR,587,2
VC,587,4
NE,587,13
PL,8080,120134
ES,8080,229620
NL,8080,215479
BG,8080,86259
IE,8080,30041
GE,8080,2166
IR,8080,392959
AL,8080,2476
CI,8080,398
AW,8080,177
AR,8080,121060
MQ,8080,1543
MW,8080,98
SC,8080,837
SN,8080,327
VU,8080,303
LY,8080,124
KN,8080,128
SB,8080,27
MR,8080,24
ID,8081,7615
IN,8081,29561
SY,8081,192
LK,8081,5783
RE,8081,545
PF,8081,2071
IM,8081,301
SX,8081,56
HT,8081,86
GQ,8081,4
GF,8081,54
KR,8443,138143
IT,8443,30824
TR,8443,31008
KZ,8443,811
PG,8443,754
BD,8443,613
BY,8443,825
CD,8443,35
EC,8443,991
VE,8443,2772
UG,8443,185
AS,8443,3
AP,8443,58
BB,8443,38
MY,990,3495
ES,990,33059
AT,990,2686
ZA,990,22525
ZW,990,40
MZ,990,533
WS,990,284
LT,990,1152
NZ,990,7296
AR,990,7620
MG,990,30
VE,990,1934
CU,990,119
BN,990,63
DJ,990,2
KW,990,84
TT,990,16
UG,990,62
TH,995,16691
HK,995,102482
DK,995,8362
DE,995,351057
SI,995,3707
BG,995,23700
KW,995,261
JO,995,162
MQ,995,15
IM,995,337
GM,995,10
BB,995,43
BF,995,20
AU,110,252320
JP,110,897709
GB,110,250579
MK,110,591
MD,110,2314
BY,110,2428
KW,110,942
DZ,110,1554
LU,110,3313
AF,110,178
SD,110,83
NP,110,561
GD,110,18
NI,110,359
BO,110,658
AP,110,156
SL,110,23
MP,110,16
US,135,1679225
LU,135,1033
TR,135,46631
AT,135,6676
IR,135,16427
CY,135,854
ID,135,8342
NE,135,103
EU,135,968
BR,135,99265
PY,135,282
GI,135,174
GL,135,16
MW,135,34
BI,135,19
BF,135,25
JP,1723,297109
IN,1723,52033
DE,1723,194995
BY,1723,4127
UZ,1723,786
LV,1723,8059
SV,1723,968
PK,1723,3116
MZ,1723,1001
NC,1723,1475
WS,1723,431
GU,1723,249
VE,1723,7325
BR,1723,99258
SS,1723,42
TD,21,25
KM,21,16
NR,23,9
ST,23,19
AS,25,11
ID,445,7275
TH,445,15923
EG,445,7530
TM,445,39
AZ,445,1751
UZ,445,465
UG,445,221
GE,445,1899
RW,445,63
KG,445,538
BB,445,72
LS,445,16
NI,445,297
BO,445,7925
LI,5000,84
NO,5000,8630
IS,5000,267
LT,5000,1346
EG,5000,5633
BD,5000,446
FO,5000,17
BR,5000,93081
AG,5000,15
CM,5000,9
MX,5000,21470
JE,5000,39
TT,5000,438
UY,5000,1231
SA,5900,7860
RU,5900,21203
NO,5900,5342
BB,5900,39
GH,5900,170
LU,5900,1006
BH,5900,143
PY,5900,135
SM,5900,28
MV,5900,407
PA,5900,400
ZM,5900,33
GE,5900,69
BL,5900,1
TM,5900,3
TL,5900,3
TW,9100,24598
ES,9100,34593
GI,9100,1973
KZ,9100,223
MV,9100,255
PH,9100,1996
LU,9100,437
KW,9100,113
ZW,9100,51
BN,9100,68
FJ,9100,7
SR,9100,9
GL,9100,4
CA,993,134335
SG,993,24041
JP,993,419049
CH,993,21021
RU,993,95043
PL,993,279762
EU,993,5212
TZ,993,423
EG,993,710
IQ,993,98
YT,993,12
NE,993,19
NA,993,83
PF,993,1925
FM,993,2
HT,993,28
TC,993,6
AX,110,17
VC,110,7
TC,135,8
NU,25,3
KI,9100,1
DM,135,5
IO,1723,4
NU,445,1
VA,5000,1
TM,5000,1
AP,8081,19
PW,9100,1
YT,110,4
NU,22,2
SS,53,5
SB,993,8
PW,111,3
TO,111,5
BL,139,1
KN,3306,8
VC,3306,4
SN,465,39
DJ,465,4
FM,8443,1
TL,990,3
BT,995,22
GQ,995,5
SJ,22,1
KR,8888,223827
CN,8888,567611
DE,8888,72349
GE,8888,181
SI,8888,1224
ZW,8888,514
KZ,8888,2088
IE,8888,2578
ME,8888,87
LU,8888,629
MN,8888,97
CK,8888,11
LY,8888,30
MX,8888,4819
BB,8888,25
NE,8888,7
GA,8888,262
TG,8888,5
SX,8888,12
NI,8888,32
PW,995,4
CK,111,4
KR,1433,85723
VN,1433,8437
NO,1433,4000
CZ,1433,5457
FI,1433,794
IS,1433,122
DZ,1433,1412
BA,1433,497
AT,1433,2659
LT,1433,508
CO,1433,6464
MQ,1433,14
PR,1433,168
PA,1433,667
LA,1433,38
MP,1433,16
AG,1433,24
TV,21,1
ML,3306,29
VA,3306,3
GL,8081,4
GW,990,1
FO,1433,3
US,389,2990761
NZ,389,7780
PL,389,5352
A2,389,2819
TJ,389,2156
ZW,389,537
SC,389,76
KG,389,48
GH,389,226
UZ,389,90
DM,389,4
MN,389,88
AO,389,161
CM,389,36
LI,389,12
BD,389,292
FO,8888,5
GN,8888,4
GL,990,1
PN,389,1
BF,8888,1
TK,8888,1
KI,111,1
KM,990,1
KM,111,2
VU,389,3
ST,389,1
CC,5900,1
AI,143,2
SH,389,1
NF,587,1
YT,8888,1
NR,135,1
LI,80,753
PY,80,13
LB,80,51764
IM,80,1656
BD,80,1511
NC,80,179
CY,80,5319
BH,80,29921
--,80,58
PG,80,4
KG,80,671
YE,80,374
GI,80,523
HR,111,1048
IR,111,3555
RO,111,69581
ZA,111,26757
CM,111,82
TN,111,1052
JO,111,383
MR,111,14
YT,111,5
MM,111,29
MX,111,7975
VG,111,90
BZ,111,2062
UY,111,310
SN,111,54
GN,111,11
TC,111,20
PL,139,28550
IE,139,4742
CZ,139,14628
GT,139,1260
A1,139,59
IQ,139,630
SN,139,151
PE,139,4715
SO,139,28
NI,139,213
VI,139,30
TV,139,2
CH,143,61015
AT,143,15357
CR,143,16939
EC,143,2377
HN,143,929
CU,143,397
TO,143,34
TM,143,19
ZM,143,112
LR,143,8
KR,21,835644
JP,21,1005118
TW,21,184757
GB,21,398330
NO,21,127742
GR,21,19223
A2,21,3403
FO,21,120
KG,21,693
GP,21,400
OM,21,741
MS,21,82
CG,21,2973
%,21,289
BZ,21,2493
PY,21,1215
KI,21,7
AU,22,372971
ES,22,500211
GB,22,533194
A2,22,5032
HU,22,47413
KH,22,3150
A1,22,1860
VG,22,5480
TG,22,539
AI,22,136
MS,22,83
NR,22,43
ST,22,17
NZ,23,15982
CZ,23,66318
JO,23,7061
BS,23,1726
GT,23,25772
TZ,23,3092
LS,23,263
BJ,23,324
BZ,23,3288
VU,23,62
CA,25,323825
HK,25,138944
RO,25,123026
KZ,25,3671
GR,25,10813
MT,25,1136
BA,25,951
TN,25,535
CI,25,7030
KG,25,349
FJ,25,219
BJ,25,115
TT,25,347
AW,25,123
TW,3306,38585
NL,3306,134840
GI,3306,1979
NO,3306,9241
LV,3306,3948
NG,3306,1840
ZA,3306,34126
GH,3306,235
CR,3306,1167
KH,3306,6754
KE,3306,1395
MG,3306,67
CG,3306,1374
MT,3306,379
TC,3306,7
TT,3306,61
BB,3306,25
PW,3306,6
PM,3306,1
BQ,3306,8
BE,3389,277836
A2,3389,3068
UG,3389,430
BD,3389,3720
GA,3389,860
ZW,3389,412
CV,3389,198
BR,3389,179307
SV,3389,675
AF,3389,323
UY,3389,3179
TG,3389,32
PA,3389,2550
GU,3389,190
AS,3389,13
AI,3389,22
AU,443,605821
SG,443,264498
MP,443,321
BN,443,2760
SY,443,1056
LB,443,6429
MK,443,7853
BB,443,1344
HN,443,3734
AW,443,747
PY,443,3847
JM,443,5391
FK,443,634
NG,443,12507
CI,443,1524
HU,443,74998
JO,443,21601
RE,443,2085
MD,443,20667
YE,443,1158
AM,443,24826
GF,443,351
GI,443,3547
TN,443,10389
ER,443,134
NE,443,338
CF,443,142
KR,465,126371
RO,465,59187
TR,465,60303
IS,465,1323
NG,465,339
SC,465,316
KG,465,149
KH,465,173
VI,465,46
BZ,465,442
JE,465,17
MG,465,75
VE,465,3126
CW,465,102
TL,465,16
GL,465,69
FJ,465,45
HT,465,14
AU,53,263698
BE,53,264024
LV,53,12330
IE,53,24700
AE,53,8258
TT,53,6239
AO,53,1429
RE,53,156
KY,53,193
SO,53,162
HN,53,2642
ST,53,17
TM,53,32
CF,53,12
NR,53,6
JP,587,652485
AE,587,890
PT,587,9086
KW,587,382
KE,587,1241
SD,587,34
GN,587,14
BR,587,55694
GQ,587,5
PY,587,457
SM,587,62
GL,587,77
CW,587,96
CM,587,26
SZ,587,20
JP,8080,386939
HU,8080,31742
CZ,8080,73267
SE,8080,69873
TR,8080,61476
GI,8080,2051
PS,8080,1898
ID,8080,25770
KZ,8080,5421
AM,8080,2063
PR,8080,16626
EG,8080,9992
ME,8080,16894
GA,8080,843
AE,8080,41799
UZ,8080,486
MN,8080,844
IM,8080,702
BN,8080,316
FO,8080,74
AI,8080,74
LR,8080,20
BG,8081,6890
SE,8081,65815
SI,8081,1796
TN,8081,1114
MV,8081,464
NC,8081,358
PE,8081,4391
PM,8081,3
HN,8081,394
AG,8081,12
NE,8081,5
PN,8081,1
AT,8443,10412
NO,8443,7916
VA,8443,4
MG,8443,52
BR,8443,27141
CL,8443,4616
HN,8443,734
ZM,8443,75
SX,8443,25
GN,8443,9
MM,8443,26
BT,8443,30
BF,8443,12
BI,8443,9
GQ,8443,4
US,990,2236330
IT,990,7853
TZ,990,306
CD,990,3
PA,990,326
PS,990,57
NP,990,17
JM,990,17
AS,990,2
RW,990,4
SM,990,4
KR,995,124361
TR,995,63732
SE,995,18067
TZ,995,532
VG,995,2347
AM,995,301
PG,995,198
DO,995,70640
JM,995,63
BZ,995,517
LC,995,12
GU,995,35
GG,995,11
SM,995,59
VC,995,4
BG,110,26136
TJ,110,2707
AZ,110,1411
MZ,110,842
BD,110,1913
EC,110,2773
GT,110,596
BZ,110,560
CW,110,163
HT,110,34
BB,110,133
GF,110,15
PE,135,5143
UA,135,45545
SE,135,13409
CH,135,7467
MD,135,4130
ZM,135,204
WS,135,226
SI,135,571
GP,135,84
AE,135,442
RE,135,98
DJ,135,18
CW,135,137
SR,135,71
MP,135,20
AD,135,50
AW,135,40
CC,135,1
FM,143,2
MY,1723,10214
SI,1723,9705
SE,1723,44764
NO,1723,19432
FO,1723,208
MD,1723,3530
AE,1723,5415
BA,1723,2140
GT,1723,3621
MU,1723,704
SD,1723,195
MV,1723,2183
LA,1723,248
TT,1723,633
YE,1723,1312
JM,1723,717
MC,1723,394
CV,1723,346
MM,1723,211
CO,1723,16456
GF,1723,63
TK,1723,115
SO,25,14
KI,25,10
CA,445,68498
HK,445,129228
SA,445,5290
MD,445,5121
MA,445,1023
BJ,445,44
BM,445,92
IQ,445,584
GG,445,49
BS,445,40
MT,445,299
FJ,445,29
GM,445,49
ER,445,6
KR,5000,846030
BH,5000,269
TH,5000,17920
MO,5000,1639
KW,5000,1297
A1,5000,140
YT,5000,40
GP,5000,325
LC,5000,27
AW,5000,342
BQ,5000,10
BI,587,15
