cc,port,n
IS,139,394
AE,139,114805
NC,139,235
TH,139,18351
CG,139,2840
AF,139,748
PF,139,1957
AS,139,5
MY,143,14250
TW,143,65327
IL,143,14614
UA,143,24120
QA,143,9287
PT,143,11874
IR,143,8798
IN,143,40248
PG,143,217
MU,143,404
LY,143,177
MW,143,94
PK,143,3264
LV,143,6287
MG,143,135
KY,143,37
KP,143,26
DE,21,992694
RU,21,366626
KZ,21,14204
RS,21,18317
GG,21,127
PK,21,23500
AR,21,68539
IM,21,570
BM,21,534
LS,21,4871
NE,21,32
CV,21,45
CO,21,158035
SL,21,103
VI,21,434
PF,21,3274
UY,21,4865
CZ,22,161066
FR,22,812564
PT,22,27801
IL,22,29490
KG,22,2320
BA,22,20893
ML,22,714
LK,22,1681
BW,22,1654
SD,22,538
TZ,22,3343
BR,22,998198
FO,22,130
PY,22,2953
HN,22,3918
LR,22,133
SY,22,186
SV,22,2250
TO,22,33
AD,22,388
AS,22,81
GW,22,21
SD,23,2604
RU,23,294205
ES,23,335997
KZ,23,6977
CY,23,4085
SN,23,2210
FM,23,1914
GP,23,446
MM,23,261
NE,23,279
BQ,23,3545
BO,23,40311
ZA,25,57485
NL,25,263756
TR,25,130360
FO,25,220
HR,25,4509
MA,25,1776
MN,25,505
KW,25,1736
RE,25,217
FK,25,1236
MC,25,355
DO,25,71069
PY,25,1179
TV,25,32
EU,3306,5015
TN,3306,1062
CY,3306,1031
OM,3306,185
GF,3306,11
AX,3306,9
NI,3306,117
GP,3306,36
GG,3306,2
PS,3389,697
RS,3389,3219
SI,3389,8049
PT,3389,21394
TJ,3389,2498
KW,3389,1938
NA,3389,678
DZ,3389,1629
GE,3389,1110
CO,3389,26493
BW,3389,401
EC,3389,4772
LS,3389,61
ET,3389,122
MF,3389,23
TD,3389,8
JP,443,1199536
VN,443,142647
MM,443,1090
BF,443,496
BS,443,2714
BA,443,8644
NI,443,5274
DO,443,111062
FO,443,679
MC,443,1462
AZ,443,5738
IE,443,321145
RS,443,25021
BH,443,7386
IQ,443,13006
SM,443,710
IS,443,14455
TZ,443,2727
ML,443,6957
CM,443,1804
LY,443,2565
SN,443,1653
CG,443,3557
ST,443,167
A1,443,1203
IT,465,29122
A2,465,2866
ZA,465,33157
TN,465,206
NA,465,97
AD,465,43
EC,465,2472
MM,465,126
HK,53,160335
IN,53,256855
PL,53,175940
CZ,53,93886
SI,53,6303
HU,53,36914
PG,53,443
IQ,53,18585
MW,53,485
CM,53,1593
BW,53,2199
BD,53,6291
AI,53,109
CD,53,400
LS,53,182
DM,53,37
YT,53,6
TL,53,75
PA,53,5960
MM,53,127
KN,53,55
GL,53,42
CH,587,25618
KZ,587,1214
SI,587,3662
A2,587,2862
PG,587,231
DZ,587,1500
MT,587,407
MK,587,471
AL,587,109
ME,587,69
UY,587,368
CO,587,4711
BM,587,46
AP,587,115
GU,587,35
HN,587,194
DJ,587,10
NU,587,2
CN,8080,799567
A2,8080,3100
MT,8080,1655
KW,8080,11566
MZ,8080,810
ZM,8080,476
JE,8080,261
A1,8080,279
GN,8080,39
BF,8080,163
NC,8080,1113
VE,8080,19375
PG,8080,138
PY,8080,5732
YT,8080,34
TH,8081,22365
RS,8081,1740
GR,8081,65500
LT,8081,2968
AE,8081,7015
BS,8081,327
KE,8081,925
WS,8081,287
BA,8081,335
LB,8081,553
KG,8081,107
AF,8081,232
UY,8081,1313
BN,8081,119
CF,8081,4
PG,8081,36
CK,8081,7
BQ,8081,13
PE,8443,4066
IN,8443,32725
SI,8443,2050
PR,8443,509
BS,8443,287
ZW,8443,640
TN,8443,234
SZ,8443,17
QA,8443,9236
GP,8443,193
MX,8443,9344
BO,8443,317
BN,8443,98
SN,8443,60
MS,8443,3
CA,990,22639
TW,990,13486
RU,990,8964
QA,990,8966
ET,990,16
AW,990,4
CH,995,16826
RS,995,1636
EG,995,762
GA,995,778
MV,995,2023
MO,995,1004
MX,995,6502
GT,995,379
PY,995,551
UG,995,184
HT,995,25
GP,995,36
DE,110,403506
SI,110,4365
CZ,110,30976
GR,110,8678
AT,110,16214
GP,110,60
AL,110,148
RE,110,87
MA,110,1181
UG,110,268
ST,110,2
UY,110,772
JO,110,665
TT,110,138
DJ,110,11
CA,135,72969
KR,135,90100
GE,135,1551
GR,135,4208
UZ,135,1131
%,135,1585
RO,135,12066
AZ,135,1823
MQ,135,51
VG,135,621
IM,135,541
BZ,135,147
AI,135,10
MR,135,24
BJ,135,38
AP,135,54
VC,135,12
TL,143,25
EG,1723,6445
CH,1723,34408
CZ,1723,45816
BE,1723,306058
AM,1723,1357
LI,1723,607
IS,1723,1201
SG,1723,16648
TZ,1723,1355
GH,1723,520
NR,1723,119
NP,1723,749
DO,1723,71919
ME,1723,744
AS,1723,127
TC,1723,182
BB,1723,465
TM,1723,257
CR,1723,2505
YT,1723,44
PW,1723,141
MF,1723,33
NZ,445,4002
DK,445,9548
RS,445,1612
CY,445,818
HR,445,2196
OM,445,359
DZ,445,1684
JM,445,204
CW,445,366
AG,445,220
KH,445,214
MP,445,24
MO,445,887
KN,445,32
PG,445,37
ML,445,32
DJ,445,20
PW,445,12
IO,445,2
NF,445,1
PL,5000,25581
FR,5000,145375
A2,5000,2788
BG,5000,3651
BS,5000,312
QA,5000,9339
GT,5000,538
VU,5000,23
AI,5000,7
LB,5000,439
TC,5000,13
PA,5000,1775
CK,5000,4
BW,5000,14
PW,587,3
VU,587,20
CN,5900,339392
TR,5900,11347
GI,5900,1979
AU,5900,199419
EG,5900,1353
CY,5900,302
ZW,5900,30
AF,5900,386
AR,5900,12405
CL,5900,1879
PE,5900,3700
HN,5900,242
LC,5900,14
HK,9100,88108
AU,9100,192029
FI,9100,1803
IS,9100,253
MX,9100,3907
DO,9100,70572
PE,9100,3286
IM,9100,260
CU,9100,125
CD,9100,4
TN,9100,47
MN,9100,27
AL,9100,16
MP,9100,13
HK,993,101070
AU,993,240891
RS,993,1481
SN,993,46
AR,993,13492
GE,993,605
AM,993,307
LY,993,160
GN,993,11
MM,993,189
SM,993,86
SX,993,12
AF,993,12
CV,993,13
SD,993,52
MQ,110,28
FK,445,1
DJ,5000,3
ML,5000,5
MM,5900,10
AS,5900,8
PM,993,2
FO,135,1
MS,25,10
NU,3389,1
PM,445,4
SH,8080,1
AW,8081,41
NR,9100,1
TK,445,1
TD,5900,3
PN,111,1
SJ,3306,1
CF,465,2
MR,587,9
MH,587,3
CM,990,4
ML,990,3
IO,110,1
GW,110,2
NU,5000,1
TK,5000,1
BL,53,1
GW,8081,4
CA,8888,30695
JP,8888,129535
IN,8888,36276
IL,8888,3441
CY,8888,320
EU,8888,5930
MD,8888,656
SN,8888,28
LA,8888,59
VE,8888,2961
BZ,8888,110
PF,8888,1924
SR,8888,34
BT,8888,5
FK,139,1
SA,1433,9381
FR,1433,90478
IE,1433,4784
A2,1433,2807
PT,1433,2189
LK,1433,283
MT,1433,192
KW,1433,559
MO,1433,999
MW,1433,19
SY,1433,30
EC,1433,1197
HN,1433,200
BZ,1433,17
AX,1433,2
GW,1433,2
PW,1433,3
MS,1433,1
TW,389,14524
UA,389,1642
GB,389,76583
TZ,389,385
BJ,389,21
FJ,389,22
PE,389,3843
BH,389,48
MP,389,11
TO,389,12
AG,389,15
GF,389,12
FO,389,7
TL,389,8
ML,8888,6
VI,389,9
NU,8888,1
NU,8081,1
CX,8081,1
KI,8888,1
TM,990,1
VI,990,1
PN,143,1
CX,3306,1
TV,8081,1
PM,135,1
SE,80,202289
SA,80,171519
GR,80,32560
HU,80,75728
ZA,80,6966
MU,80,2303
PH,80,1018
A1,80,476
GT,80,11
MF,80,35
YT,80,54
