country,found,total_allocated_ipv4s,web (443),web (80),dns (53),ssh (22),telnet (23),ftp (21),smtp (25),imap (143),pop3 (110),imap (993),mysql (3306),jetdirect (9100),ldap (389),mssql (1433),smb (445),netbios (137),netbios (139),upnp (5000),pop3 (995),pptp (1723),rdp (3389),rpc (111),smtp (465),smtp-sub (587),vnc (5900),web-alt (8080),web-alt (8081),ftps (990),web-alt (8443),web-alt (8888),dce (135)
United Kingdom,"2,973,943","126,463,384","1,254,982","1,529,264 (1.2%)","314,021","581,880","227,179","512,584","569,650","400,851","390,253","253,525","234,370","103,664","112,748","109,987","158,306","89,537","123,111","130,970","235,719","463,823","238,703","149,126","234,076","242,491","123,286","300,487","518,200","102,812","207,459","72,646","141,747"
Bangladesh,"92,610","1,387,008","16,139 (1.2%)","45,211 (3.3%)","9,869","15,065 (1.1%)","17,275 (1.2%)","15,578 (1.1%)","3,745","2,396","2,551","2,092","3,037",177,457,"1,013","4,496",87,"2,938",771,"2,068","14,202 (1.0%)","6,652","2,303","1,618","1,553",955,"12,882","1,355",173,"1,087","3,582","2,163"
Czech Republic,"465,749","9,281,920","148,716 (1.6%)","242,614 (2.6%)","78,048","147,255 (1.6%)","51,093","87,569","69,605","31,181","30,400","29,780","19,554","3,670","4,624","4,674","15,642","2,146","12,471","14,304","25,263","47,173","35,487","18,572","27,143","19,272","8,681","69,903","13,641","3,916","10,411","7,476","13,156"
Mozambique,"7,107","445,184","1,993","3,834","1,141","4,060","1,765","2,518","1,036",761,809,645,601,539,587,557,808,519,682,625,624,981,"1,100",580,625,675,557,776,559,526,665,343,699
Turkmenistan,620,"17,920",95,381 (2.1%),31,88,41,28,142,21,136,18,9,2,3,11,271 (1.5%),1,30,1,20,249 (1.4%),39,7,11,16,8,20,18,1,3,8,30
Albania,"30,245","352,000","7,286 (2.1%)","18,221 (5.2%)","4,915 (1.4%)","6,299 (1.8%)","5,428 (1.5%)","3,970 (1.1%)",641,328,346,281,317,43,82,322,489,26,318,791,261,"2,498",905,594,238,267,110,"4,945 (1.4%)",387,45,169,337,340
Canada,"2,271,426","70,383,360","815,468 (1.2%)","1,014,634 (1.4%)","257,297","475,379","155,958","405,692","441,329","549,522","544,900","188,815","155,211","60,945","46,936","43,637","77,841","38,055","81,693","156,213","176,255","137,367","159,076","89,264","174,991","173,108","61,905","271,090","113,132","47,596","102,597","36,026","84,741"
Portugal,"211,918","6,621,728","64,914","90,899 (1.4%)","20,245","31,238","15,165","25,830","24,222","15,638","15,734","13,002","10,918","3,278","3,923","4,945","9,348","1,119","4,436","7,485","12,721","28,869","20,183","5,376","12,213","11,956","4,651","20,054","43,319","3,127","14,424","3,548","7,372"
Ukraine,"593,135","11,746,656","136,414 (1.2%)","296,057 (2.5%)","87,375","128,339 (1.1%)","49,149","92,711","76,552","29,116","32,360","28,440","48,434","2,967","1,733","1,836","42,985",218,"12,812","7,503","23,309","41,698","22,706","29,160","24,850","24,438","2,799","57,967","11,510",609,"4,878","8,371","27,813"
New Zealand,"509,538","6,855,168","76,415 (1.1%)","85,249 (1.2%)","22,568","30,308","13,486","24,028","26,430","13,650","14,351","12,987","10,789","8,281","7,617","1,327","4,256","6,930","2,808","10,588","12,341","24,624","16,496","9,664","12,700","12,502","8,866","20,998","365,840 (5.3%)","7,250","15,412","5,650","2,832"
Marshall Islands,"1,695","4,096",384 (9.4%),"1,301 (31.8%)",11,672 (16.4%),725 (17.7%),657 (16.0%),6,3,3,2,2,0,3,2,8,0,5,3,2,8,11,4,2,1,1,44 (1.1%),1,1,7,0,6
Gabon,"7,183","355,328","3,375","5,527 (1.6%)",514,"1,180",812,795,506,446,460,457,435,418,475,485,661,410,487,455,471,614,575,451,502,419,423,611,476,413,467,296,495
Jordan,"120,397","671,616","20,339 (3.0%)","109,565 (16.3%)",586,"1,779","4,501","1,265",872,508,643,144,140,39,124,438,817,5,648,"2,105",167,"1,693","1,874",198,159,229,134,924,330,13,477,146,845
Azerbaijan,"37,887","755,712","5,907","20,736 (2.7%)","3,911","4,613","4,321","7,831 (1.0%)","1,479","1,062","1,089","1,230",606,590,453,594,"1,441",289,960,627,"1,168","1,743","1,721",898,916,940,420,"3,600",889,568,705,427,923
