country,found,total_allocated_ipv4s,web (443),web (80),dns (53),ssh (22),telnet (23),ftp (21),smtp (25),imap (143),pop3 (110),imap (993),mysql (3306),jetdirect (9100),ldap (389),mssql (1433),smb (445),netbios (137),netbios (139),upnp (5000),pop3 (995),pptp (1723),rdp (3389),rpc (111),smtp (465),smtp-sub (587),vnc (5900),web-alt (8080),web-alt (8081),ftps (990),web-alt (8443),web-alt (8888),dce (135)
United States,37096215,1613186816,"21,301,533 (1.3%)","23,623,498 (1.5%)","2,835,195","7,121,389","1,606,394","5,070,564","4,970,605","2,859,900","2,959,855","2,580,529","3,211,818","1,035,556","1,033,313","947,232","2,215,442","773,612","979,892","1,134,815","2,551,833","1,740,298","2,292,634","2,023,871","2,494,031","2,540,704","1,104,129","4,057,413","1,320,815","1,166,835","2,330,433","745,641","2,195,807"
Colombia,857340,17296896,"184,559 (1.1%)","317,386 (1.8%)","31,011","90,133","49,628","93,152","20,814","3,835","4,251","3,316","5,292","2,273","4,286","3,781","15,515",897,"11,891","11,842","3,202","15,469","24,126","4,209","3,030","3,053","4,198","315,880 (1.8%)","9,736","1,715","26,387","2,580","9,966"
Iceland,23686,882176,"12,228 (1.4%)","13,343 (1.5%)","2,401","6,763","3,531","5,642","2,542","1,181","1,436","1,121","1,107",114,85,119,622,17,334,267,"1,117","1,183","1,685",403,"1,311","1,205",391,"4,768",345,57,312,66,334
Burundi,835,35840,141,486 (1.4%),108,389 (1.1%),149,168,40,17,21,17,23,2,7,5,145,1,20,1,15,140,28,22,14,15,7,75,86,1,24,0,18
Austria,369198,11567456,"153,845 (1.3%)","184,809 (1.6%)","17,377","53,300","19,181","50,409","39,310","17,889","18,870","11,580","8,194","2,883","3,074","2,352","6,919","1,794","5,614","10,202","9,104","32,075","17,273","6,397","13,025","13,373","5,194","35,022","8,047","2,604","11,734","2,825","5,284"
Senegal,9390,361984,"1,385","5,612 (1.6%)",373,"1,714","2,018","1,134",202,66,65,42,77,7,60,26,608,1,146,96,34,247,231,66,50,53,23,270,109,4,97,9,304
Greece,225164,5634304,"52,407","74,660 (1.3%)","11,741","20,388","13,819","24,755","12,526","9,990","10,251","4,386","4,583","2,041","1,357","2,185","4,958",793,"3,833","3,684","3,916","18,717","11,145","2,167","4,227","4,024","2,895","89,062 (1.6%)","59,857 (1.1%)","1,020","4,231","5,248","3,933"
Brunei Darussalam,5077,204288,"2,689 (1.3%)","3,384 (1.7%)",149,333,343,367,117,90,108,83,91,72,77,74,303,3,83,158,85,472,229,111,74,92,118,306,108,65,116,65,110
Slovenia,91289,2602240,"53,590 (2.1%)","35,169 (1.4%)","5,858","11,586","3,013","10,505","8,538","4,548","4,759","4,275","2,923",946,888,"1,430",153,281,511,"2,383","3,867","10,065","7,211","1,782","4,021","3,789","1,481","9,765","1,926",840,"2,491",848,574
Cameroon,12685,446720,"1,638","7,443 (1.7%)","1,061","1,720","1,543","1,984","1,167",234,211,93,112,7,98,99,385,4,106,61,87,584,198,74,143,71,37,"1,074",215,9,165,52,153
Egypt,1815387,22299136,"24,191","462,454 (2.1%)","6,581","25,652","18,487","40,508","1,430,875 (6.4%)","1,766","2,222",901,"1,017",639,"1,504","4,180","10,027",104,"6,084","7,592","1,030","6,601","9,400","1,286","1,078","1,168","1,512","9,725","1,633",379,"1,565",723,"7,719"
Mauritania,846,42496,162,493 (1.2%),68,165,162,148,51,26,30,13,15,3,15,4,178,1,50,12,10,143,40,12,8,9,4,33,7,1,11,3,19
Malta,23268,620032,"6,029","8,030 (1.3%)","1,553","1,994","1,402","1,518","1,126",517,496,355,312,221,189,201,478,151,255,"1,123",270,"2,177","1,001",346,302,372,268,"5,923","4,753",162,349,213,255
Luxembourg,43902,1418752,"25,434 (1.8%)","21,391 (1.5%)","2,382","7,259",670,"4,169","5,252","2,704","2,454","1,856","1,391",114,200,153,"1,889",81,618,869,"1,599","2,791","1,495","1,143","2,087","2,327",701,"2,289",676,94,"1,019",229,724
Sweden,840789,30289512,"233,496","389,300 (1.3%)","70,243","122,391","48,050","81,366","50,010","32,283","31,244","27,183","23,029","10,637","8,877","8,649","22,318","6,652","15,504","24,126","23,444","48,711","35,336","47,959","22,314","25,472","14,279","74,243","91,024","8,903","37,972","7,233","16,991"
Norway,312842,15924112,"111,380","149,808","59,218","88,332","48,187","72,743","27,242","18,821","17,517","16,707","15,753","11,358","10,847","11,804","16,907","8,964","14,523","15,254","15,644","25,438","22,558","17,227","16,057","15,726","12,820","46,533","18,068","10,572","17,373","8,564","13,797"
